category,metric,location,baseline,candidate,difference,ci_low,ci_high
accuracy,accuracy,k=1,0.23,0.22,-0.01,-0.09,0.07
accuracy,accuracy,k=2,0.22,0.36,0.14,0.05,0.23
accuracy,accuracy,k=3,0.27,0.37,0.1,0.0,0.2
accuracy,accuracy,k=5,0.27,0.32,0.05,-0.05,0.15
accuracy,accuracy,k=10,0.32,0.4,0.08,-0.03,0.18
f1,f1,k=1,0.25056765620948923,0.2756945391772978,0.02512688296780856,-0.059691038493670065,0.10812355900804177
f1,f1,k=2,0.23701190476190476,0.3622698412698413,0.1252579365079365,0.039019841269841274,0.20787301587301588
f1,f1,k=3,0.25954358974358976,0.38402942408635005,0.12448583434276034,0.029775446775446773,0.21724471345647817
f1,f1,k=5,0.3215605680868839,0.3398162393162393,0.01825567122935544,-0.07901918257181414,0.11754810102178523
f1,f1,k=10,0.3283459289248763,0.42347893772893774,0.09513300880406143,-0.00816517254675149,0.2002825814536341
trajectory,EAR@K,k=10,0.23,0.22,-0.01,-0.11,0.1
trajectory,P-EAR,k=10,0.12,0.13,0.01,-0.08,0.1
transition,EAR,1->2,0.09,0.04,-0.05,-0.12,0.02
transition,BCR,1->2,0.08,0.18,0.1,0.04,0.16
transition,EAR,2->3,0.04,0.05,0.01,-0.04,0.06
transition,BCR,2->3,0.09,0.06,-0.03,-0.1,0.04
transition,EAR,3->5,0.05,0.1,0.05,-0.01,0.12
transition,BCR,3->5,0.05,0.05,0.0,-0.06,0.06
transition,EAR,5->10,0.07,0.04,-0.03,-0.09,0.04
transition,BCR,5->10,0.12,0.12,0.0,-0.07,0.07
overall_transition,EAR,all adjacent,0.0625,0.0575,-0.005,-0.0325,0.025
overall_transition,BCR,all adjacent,0.085,0.1025,0.0175,-0.01,0.0425
