category,metric,location,baseline,candidate,difference,ci_low,ci_high
accuracy,accuracy,k=1,0.2,0.19,-0.01,-0.09,0.07
accuracy,accuracy,k=2,0.17,0.26,0.09,0.0,0.17
accuracy,accuracy,k=3,0.19,0.29,0.1,0.0,0.2
accuracy,accuracy,k=5,0.26,0.25,-0.01,-0.11,0.09
accuracy,accuracy,k=10,0.29,0.3,0.01,-0.09,0.11
f1,f1,k=1,0.25056765620948923,0.2756945391772978,0.02512688296780856,-0.059691038493670065,0.10812355900804177
f1,f1,k=2,0.23701190476190476,0.3622698412698413,0.1252579365079365,0.039019841269841274,0.20787301587301588
f1,f1,k=3,0.25954358974358976,0.38402942408635005,0.12448583434276034,0.029775446775446773,0.21724471345647817
f1,f1,k=5,0.3215605680868839,0.3398162393162393,0.01825567122935544,-0.07901918257181414,0.11754810102178523
f1,f1,k=10,0.3283459289248763,0.42347893772893774,0.09513300880406143,-0.00816517254675149,0.2002825814536341
trajectory,EAR@K,k=10,0.19,0.17,-0.02,-0.12,0.08
trajectory,P-EAR,k=10,0.1,0.11,0.01,-0.08,0.1
transition,EAR,1->2,0.08,0.04,-0.04,-0.11,0.03
transition,BCR,1->2,0.05,0.11,0.06,0.01,0.12
transition,EAR,2->3,0.03,0.03,0.0,-0.04,0.04
transition,BCR,2->3,0.05,0.06,0.01,-0.05,0.07
transition,EAR,3->5,0.02,0.07,0.05,0.0,0.1
transition,BCR,3->5,0.09,0.03,-0.06,-0.13,0.01
transition,EAR,5->10,0.08,0.04,-0.04,-0.11,0.03
transition,BCR,5->10,0.11,0.09,-0.02,-0.08,0.03
overall_transition,EAR,all adjacent,0.0525,0.045,-0.0075,-0.035,0.02
overall_transition,BCR,all adjacent,0.075,0.0725,-0.0025,-0.0275,0.0225
