category,metric,location,baseline,candidate,difference,ci_low,ci_high
accuracy,accuracy,k=1,0.2,0.21,0.01,-0.08,0.1
accuracy,accuracy,k=2,0.17,0.27,0.1,0.01,0.19
accuracy,accuracy,k=3,0.19,0.21,0.02,-0.08,0.12
accuracy,accuracy,k=5,0.26,0.2,-0.06,-0.16,0.04
accuracy,accuracy,k=10,0.29,0.14,-0.15,-0.25,-0.05
f1,f1,k=1,0.25056765620948923,0.2624302986016541,0.011862642392164861,-0.06848495144524289,0.09335921823274765
f1,f1,k=2,0.23701190476190476,0.32841251493604434,0.0914006101741396,0.009905605505605503,0.17271789811495694
f1,f1,k=3,0.25954358974358976,0.2685184049397604,0.008974815196170695,-0.09335130312994763,0.10727731092436973
f1,f1,k=5,0.3215605680868839,0.2572145698859254,-0.06434599820095849,-0.16684335839598996,0.03559552226687777
f1,f1,k=10,0.3283459289248763,0.20096721144352725,-0.12737871748134905,-0.22483468110836533,-0.03608048793311951
trajectory,EAR@K,k=10,0.19,0.25,0.06,-0.03,0.16
trajectory,P-EAR,k=10,0.1,0.18,0.08,0.0,0.16
transition,EAR,1->2,0.08,0.03,-0.05,-0.11,0.01
transition,BCR,1->2,0.05,0.09,0.04,-0.01,0.1
transition,EAR,2->3,0.03,0.08,0.05,-0.01,0.11
transition,BCR,2->3,0.05,0.02,-0.03,-0.08,0.02
transition,EAR,3->5,0.02,0.05,0.03,-0.02,0.08
transition,BCR,3->5,0.09,0.04,-0.05,-0.12,0.01
transition,EAR,5->10,0.08,0.11,0.03,-0.05,0.11
transition,BCR,5->10,0.11,0.05,-0.06,-0.13,0.0
overall_transition,EAR,all adjacent,0.0525,0.0675,0.015,-0.015,0.045
overall_transition,BCR,all adjacent,0.075,0.05,-0.025,-0.0525,0.005
